trigger_name;schedule_name;cron;job_name;estado;nota;actualizado
sdlf-bigdata-reporte-abr-glue-trigger;sdlf-bigdata-reporte-abr-glue-schedule;cron(0 13 3,18 * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-run_sp_cptp_seguimiento_vinculacion_abr_pat_cof-glue-trigger;sdlf-bigdata-run_sp_cptp_seguimiento_vinculacion_abr_pat_cof-glue-schedule;cron(30 14,19 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;revisar;nombre >64 chars: renombrar a mano;2026-09-02 12:26:34
sdlf-bigdata-sp-arq-unload-shared-table-actividad-tr-trigger;sdlf-bigdata-sp-arq-unload-shared-table-actividad-tr-schedule;cron(30 9 10 * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-arq-unload-shared-tables-trigger;sdlf-bigdata-sp-arq-unload-shared-tables-schedule;cron(0 9 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-base-ivr-glue-trigger;sdlf-bigdata-sp-base-ivr-glue-schedule;cron(30 11 ? * MON,TUE,WED,THU,FRI,SAT *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-base-nps-dormidos-glue-trigger;sdlf-bigdata-sp-base-nps-dormidos-glue-schedule;cron(00 13 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-bitr-maestra-sucursales-glue-trigger;sdlf-bigdata-sp-bitr-maestra-sucursales-glue-schedule;cron(0 14 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-camp-aumento-cupo-glue-trigger;sdlf-bigdata-sp-camp-aumento-cupo-glue-schedule;cron(00 15 ? * THU *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-camp-capta-alto-valor-glue-trigger;sdlf-bigdata-sp-camp-capta-alto-valor-glue-schedule;cron(00 16 ? * WED *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-camp-crosseling-cc-tc-glue-trigger;sdlf-bigdata-sp-camp-crosseling-cc-tc-glue-schedule;cron(0 13 ? * * *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-camp-modelo-campana-glue-trigger;sdlf-bigdata-sp-camp-modelo-campana-glue-schedule;cron(15 9 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-camp-omp-com-trigger;sdlf-bigdata-sp-camp-omp-com-schedule;cron(30 17 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-camp-onboarding-cc-glue-trigger;sdlf-bigdata-sp-camp-onboarding-cc-glue-schedule;cron(30 10 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-camp-onboarding-puntos-glue-trigger;sdlf-bigdata-sp-camp-onboarding-puntos-glue-schedule;cron(0 11 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-camp-onboarding-spos-glue-trigger;sdlf-bigdata-sp-camp-onboarding-spos-glue-schedule;cron(25 18 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-camp-pagos-for-pagos-glue-trigger;sdlf-bigdata-sp-camp-pagos-for-pagos-glue-schedule;cron(00 20 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-camp-push-cobranza-glue-trigger;sdlf-bigdata-sp-camp-push-cobranza-glue-schedule;cron(00 13 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-camp-push-cupon-capta-glue-trigger;sdlf-bigdata-sp-camp-push-cupon-capta-glue-schedule;cron(0 19 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-camp-push-vence-DAP-glue-trigger-rds;sdlf-bigdata-sp-camp-push-vence-DAP-glue-trigger-rds-schedule;cron(00 17 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-camp-retira-tam-trigger;sdlf-bigdata-sp-camp-retira-tam-schedule;cron(00 8 ? * MON *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-camp-rkmt-cc-glue-trigger;sdlf-bigdata-sp-camp-rkmt-cc-glue-schedule;cron(0 13 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-camp-rmkt-adqui-cc-glue-trigger;sdlf-bigdata-sp-camp-rmkt-adqui-cc-glue-schedule;cron(30 14 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-camp-rmkt-adqui-tc-cc-glue-trigger;sdlf-bigdata-sp-camp-rmkt-adqui-tc-cc-glue-schedule;cron(00 14 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-camp-rpass-trigger;sdlf-bigdata-sp-camp-rpass-schedule;cron(0 13 ? * WED *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-camp-score-trigger;sdlf-bigdata-sp-camp-score-schedule;cron(0 16 ? * * *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-camp-tr-trx-glue-trigger;sdlf-bigdata-sp-camp-tr-trx-glue-schedule;cron(00 14 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
